material_id,formula,bulk_modulus,shear_modulus,young_modulus
mp-1229215,Al11O18,,,
mp-1245110,Al2O,,,
mp-1245215,Al2O,,,
mp-8022,Al2O,56.23,-67.087,-334.15074446620673
mp-1105018,Al2O3,,,
mp-1143,Al2O3,,,
mp-1182923,Al2O3,,,
mp-1228448,Al2O3,,,
mp-1244868,Al2O3,,,
mp-1244874,Al2O3,,,
mp-1244878,Al2O3,,,
mp-1244887,Al2O3,,,
mp-1244892,Al2O3,,,
mp-1244898,Al2O3,,,
mp-1244909,Al2O3,,,
mp-1244918,Al2O3,,,
mp-1244928,Al2O3,,,
mp-1244930,Al2O3,,,
mp-1244937,Al2O3,,,
mp-1244940,Al2O3,,,
mp-1244947,Al2O3,,,
mp-1244954,Al2O3,,,
mp-1244967,Al2O3,,,
mp-1244970,Al2O3,,,
mp-1244981,Al2O3,,,
mp-1244982,Al2O3,,,
mp-1244992,Al2O3,,,
mp-1244994,Al2O3,,,
mp-1244997,Al2O3,,,
mp-1245008,Al2O3,,,
mp-1245023,Al2O3,,,
mp-1245024,Al2O3,,,
mp-1245036,Al2O3,,,
mp-1245037,Al2O3,,,
mp-1245043,Al2O3,,,
mp-1245052,Al2O3,,,
mp-1245055,Al2O3,,,
mp-1245056,Al2O3,,,
mp-1245063,Al2O3,,,
mp-1245065,Al2O3,,,
mp-1245080,Al2O3,,,
mp-1245081,Al2O3,,,
mp-1245104,Al2O3,,,
mp-1245111,Al2O3,,,
mp-1245173,Al2O3,,,
mp-1245183,Al2O3,,,
mp-1245191,Al2O3,,,
mp-1245196,Al2O3,,,
mp-1245211,Al2O3,,,
mp-1245234,Al2O3,,,
mp-1245237,Al2O3,,,
mp-1245251,Al2O3,,,
mp-1245254,Al2O3,,,
mp-1245262,Al2O3,,,
mp-1245265,Al2O3,,,
mp-1245279,Al2O3,,,
mp-1245323,Al2O3,,,
mp-1247839,Al2O3,,,
mp-1247845,Al2O3,,,
mp-1247846,Al2O3,,,
mp-1247880,Al2O3,,,
mp-1247896,Al2O3,,,
mp-1247899,Al2O3,,,
mp-1247914,Al2O3,,,
mp-1359927,Al2O3,,,
mp-1938,Al2O3,231.614,146.396,362.75853955242155
mp-2254,Al2O3,201.586,104.324,266.9258573423102
mp-2352722,Al2O3,,,
mp-2637304,Al2O3,124.727,56.615,147.52405302045517
mp-32570,Al2O3,197.042,111.213,280.80839525357413
mp-32591,Al2O3,,,
mp-638765,Al2O3,,,
mp-642363,Al2O3,195.665,238.638,508.9887860950325
mp-684591,Al2O3,141.633,83.335,209.0117435964536
mp-684677,Al2O3,,,
mp-684713,Al2O3,,,
mp-684990,Al2O3,,,
mp-685036,Al2O3,189.803,645.342,907.5033719947545
mp-7048,Al2O3,186.365,102.826,260.5575399632282
mp-723985,Al2O3,,,
mp-752826,Al2O3,166.16,81.144,209.35293114156764
mp-754401,Al2O3,92.512,45.373,116.99247399112443
mp-754531,Al2O3,106.927,57.732,146.77959825950495
mp-754624,Al2O3,,,
mp-754812,Al2O3,128.947,53.564,141.1479296829055
mp-755066,Al2O3,182.223,84.014,218.46719841505157
mp-755175,Al2O3,,,
mp-755483,Al2O3,,,
mp-759943,Al2O3,196.991,111.116,280.590733659123
mp-776475,Al2O3,212.727,127.515,318.83796003244106
mp-776490,Al2O3,228.207,145.301,359.5860186415108
mp-782035,Al2O3,,,
mp-985587,Al2O3,,,
mp-1245113,Al38O21,,,
mp-1245250,Al38O21,,,
mp-1182893,Al5O8,,,
mp-1228138,Al5O8,,,
mp-1244893,Al8O3,,,
mp-8023,AlO,134.577,-10.647,-32.80614797600513
mp-1096799,AlO2,121.5,76.989,190.6898507097572
mp-1182858,AlO2,,,
mp-1182869,AlO2,,,
mp-1182900,AlO2,,,
mp-734251,AlO2,,,
mp-1182868,AlO3,,,
mp-1182877,AlO3,,,
mp-1182886,AlO3,,,
mp-1182887,AlO3,,,
mp-1182911,AlO3,,,
mp-1182915,AlO3,,,
mp-1205393,AlO3,,,
mp-1253219,AlO3,,,
mp-2646975,AlO3,,,
mp-35200,AlO3,,,
